Topic,Question,Options,,,,Answer,Explanation
Module 1 what is Artificial Intelligence,,,,,,,
,Complete the sentence. performs tasks without human intervention and completes mundane and repetitive tasks for humans-while allows humans to make final decisions after analyzing data-reports-and other types of data.,Augmented-intelligence- Narrow AI,Augmented- intelligence-AI,AI-Narrow AI,AI-augmented intelligence,AI-augmented intelligence,Thinking about the difference between AI and augmented intelligence- AI performs tasks without human intervention and completes mundane and repetitive tasks- while augmented intelligence does not participate in the actual decision making. It allows humans to make the final decisions after they analyze data-reports- and other types of data.
,Which of the following Narrow AI systems would you want to include when building the Broad AI system for a self-driving car?,Entertainment trends,Information from the global positioning system (GPS),International news,Long-term weather patterns,Information from the global positioning system (GPS),Information from a satellite-based navigation and location system such as the global positioning system (GPS)- would be useful for a Broad AI system in a self-driving car. Entertainment trends- international news-and long-term weather patterns aren’t needed to ensure that you arrive at your destination safely.
,What one word best describes what AI can do?,Predict,Advance,Take,Utilise,Predict,
,Complete the sentence. Artificial intelligence (AI) refers to the ability of a machine to and,Learn patterns- make predictions,Secure data- create algorithms,Identify emotions-transfer data,Create algorithms-generalize information,Learn patterns- make predictions,Artificial intelligence (AI) refers to the ability of a machine to learn patterns and make predictions. AI does not replace human decisions. Instead- AI adds value to human judgment.
,Fill in the blank. systems are used to predict global weather-trace pandemics- and help businesses predict future trends?,Broad AI,Narrow AI,Targeted AI,General AI,Broad AI,Broad AI systems are more versatile and can handle a wider range of related tasks than Narrow AI-yet they are not as advanced as General AI. Broad AI systems can perform functions such as predict global weather-trace pandemics-and help businesses predict future trends.
Module 2 what are the three eras of computing,,,,,,,
,In which era did computers guide astronauts from Earth to the moon and advance to handle more than one kind of instruction?,The Era of Programming,The Era of Tabulation,The Era of AI,The Era of Industrialization,The Era of Programming,"During the turmoil of World War Il- a new approach to data emerged- called the Era of Programming-that could run more than one kind of instruction (called ""programs"" today) in order to do more than one kind of calculation- Programmable computers guided astronauts from Earth to the moon during this era."
,Which of the following is the correct order of the three eras of computing?,AI Programming- Tabulation,Tabulation- AI- Programming,Tabulation-Programming- AI,Programming-Tabulation-AI,Tabulation-Programming- AI,The three eras of computing- in order are: the Era of Tabulation the Era of Programming and the Era of AI.
,In which era did the advancements in fields ranging from cancer research to energy production show how its achievements impact people every day- and that it has exponentially increasing abilities?,The Era of Tabulation,The Era of AI,The Era of Industrialization,The Era of Programming,The Era of AI,In the Era of AI- AI has proven its ability in fields ranging from cancer research and big data analysis to defense systems and energy production. Its achievements impact people every day and its abilities increase exponentially.
